file,forced_detection_method,resolved_detection_method,detection_success,usable_scan,quality_status,rejection_reason,binarization_method,benchmark_binarization_mode,overall_score,detection_confidence,sharpness,skew_angle,binarization_score
a01-026u.png,threshold,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,52.1,0.1,325.37,0.0,49.57
a01-026u.png,hough,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,52.1,0.1,325.37,0.0,49.57
a01-026u.png,corners,corners,1,1,accepted,,otsu_deshadow,otsu_deshadow,62.5,0.879,281.43,0.98,54.7
a01-026x.png,contour,fallback,0,0,rejected,"score<60, conf<0.35, binary<45",otsu_deshadow,otsu_deshadow,51.1,0.1,358.96,0.0,43.09
a01-026x.png,threshold,threshold,1,0,rejected,binary<45,otsu_deshadow,otsu_deshadow,63.0,0.878,369.12,0.0,41.91
a01-026x.png,hough,fallback,0,0,rejected,"score<60, conf<0.35, binary<45",otsu_deshadow,otsu_deshadow,51.1,0.1,358.96,0.0,43.09
a01-026x.png,corners,fallback,0,0,rejected,"score<60, conf<0.35, binary<45",otsu_deshadow,otsu_deshadow,51.1,0.1,358.96,0.0,43.09
a01-030.png,contour,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,50.0,0.1,300.65,0.0,46.56
a01-030.png,threshold,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,50.0,0.1,300.65,0.0,46.56
a01-030.png,hough,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,50.0,0.1,300.65,0.0,46.56
a01-030.png,corners,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,50.0,0.1,300.65,0.0,46.56
a01-030u.png,contour,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,51.5,0.1,307.49,0.0,49.33
a01-030u.png,threshold,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,51.5,0.1,307.49,0.0,49.33
a01-030u.png,hough,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,51.5,0.1,307.49,0.0,49.33
a01-030u.png,corners,corners,1,1,accepted,,otsu_deshadow,otsu_deshadow,71.1,0.875,491.46,0.0,55.85
G6miiqkWkAAn-bE.jpeg,contour,fallback,0,0,rejected,conf<0.35,otsu_deshadow,otsu_deshadow,66.5,0.1,4693.2,0.0,48.11
G6miiqkWkAAn-bE.jpeg,threshold,threshold,1,1,accepted,,otsu_deshadow,otsu_deshadow,79.7,1.0,6378.65,-1.9,64.02
G6miiqkWkAAn-bE.jpeg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,81.0,0.99,6317.76,-1.04,64.29
